,o,d,w
0,1,10,980
1,1,16,1044
2,1,71,443
3,2,53,451
4,2,87,387
5,3,11,54
6,3,21,131
7,4,17,466
8,4,21,169
9,4,40,234
10,5,25,288
11,5,36,225
12,6,50,82
13,6,60,153
14,7,17,529
15,7,53,1052
16,7,60,913
17,8,43,614
18,8,67,624
19,9,14,227
20,9,85,186
21,10,1,980
22,10,62,1182
23,10,67,644
24,11,3,54
25,11,46,73
26,12,66,249
27,12,76,168
28,14,9,227
29,14,30,274
30,15,32,151
31,15,88,86
32,16,1,1044
33,16,53,1045
34,17,4,466
35,17,7,529
36,18,73,288
37,18,75,98
38,18,18b,172
39,19,39,17
40,19,54,68
41,20,76,85
42,21,3,131
43,21,4,169
44,21,69,37
45,22,37,85
46,25,5,288
47,25,35,342
48,25,50,16
49,26,45,250
50,26,57,181
51,27,74,161
52,27,18b,161
53,28,57,150
54,28,85,167
55,29,56,225
56,29,74,183
57,30,14,274
58,30,86,323
59,31,42,323
60,31,65,373
61,32,15,151
62,32,34,245
63,32,41,37
64,33,59,275
65,33,79,249
66,33,83,282
67,34,32,245
68,34,61,405
69,34,73,352
70,34,82,866
71,35,25,343
72,35,54,410
73,36,5,225
74,36,49,85
75,36,70,101
76,37,22,85
77,37,39,59
78,37,54,481
79,37,65,423
80,38,69,131
81,38,70,114
82,39,19,17
83,39,37,59
84,39,54,299
85,39,68,362
86,40,4,234
87,40,69,173
88,41,32,37
89,41,47,86
90,42,31,324
91,42,59,276
92,43,8,613
93,43,58,723
94,43,68b,370
95,44,63,85
96,45,26,250
97,45,55,630
98,45,66,526
99,46,11,73
100,46,77,134
101,47,41,86
102,47,51,137
103,48,56,273
104,48,87,323
105,49,36,85
106,50,6,83
107,50,25,15
108,51,47,137
109,51,62,212
110,52,63,168
111,52,72,249
112,53,2,452
113,53,7,1051
114,53,16,1045
115,53,78,274
116,54,19,68
117,54,35,411
118,54,37,480
119,54,39,299
120,54,60,853
121,55,45,631
122,55,58,675
123,56,29,226
124,56,48,272
125,57,26,181
126,57,28,150
127,58,43,722
128,58,55,676
129,59,33,274
130,59,42,277
131,60,6,152
132,60,7,914
133,60,54,853
134,61,34,405
135,61,72,328
136,62,10,1183
137,62,51,212
138,62,82,896
139,62,84,67
140,63,44,85
141,63,52,168
142,65,31,372
143,65,37,424
144,66,12,249
145,66,45,525
146,66,83,286
147,67,8,625
148,67,10,643
149,68,39,362
150,68,68b,361
151,69,21,37
152,69,38,131
153,69,40,173
154,70,36,101
155,70,38,114
156,71,1,443
157,71,86,374
158,72,52,249
159,72,61,328
160,73,18,287
161,73,34,353
162,74,27,162
163,74,29,182
164,75,18,98
165,75,88,23
166,76,12,168
167,76,20,85
168,77,46,134
169,77,78,199
170,78,53,274
171,78,77,199
172,79,33,249
173,79,80,168
174,80,79,168
175,80,81,85
176,81,80,85
177,82,34,865
178,82,62,897
179,82,84,18
180,83,33,283
181,83,66,285
182,84,62,67
183,84,82,18
184,85,9,186
185,85,28,167
186,86,30,323
187,86,71,374
188,87,2,386
189,87,48,324
190,88,15,86
191,88,75,23
192,18b,18,173
193,18b,27,160
194,68b,43,370
195,68b,68,361
