source,target,link_id,length,time
38,69,1,1304,28.97777778
38,70,2,174,3.866666667
36,70,3,259,10.36
5,36,4,45,1.8
25,5,5,77,2.2
25,35,6,356,10.17142857
35,54,7,91,2.6
37,54,8,150,4.285714286
37,65,9,281,8.028571429
31,65,10,15,0.428571429
39,54,11,336,9.6
39,68,12,22,0.628571429
43,68,13,243,6.942857143
58,43,14,76,2.171428571
55,58,15,124,3.54285
45,55,17,202,5.05
66,45,18,103,2.575
12,66,19,623,15.575
76,12,20,776,19.4
20,76,21,532,13.3
39,37,22,257,7.342857143
42,31,24,75,7.5
42,59,25,154,15.4
33,59,26,402,40.2
33,83,27,62,6.2
66,83,28,195,4.875
40,69,29,791,17.57777778
4,40,30,336,9.6
4,17,31,283,8.085714286
7,17,32,484,13.82857143
53,7,33,865,24.71428571
16,53,34,400,11.42857143
1,16,35,404,11.54285714
1,71,36,178,5.085714286
86,71,37,209,5.971428571
86,30,38,244,6.971428571
14,30,39,191,5.457142857
9,14,40,256,7.314285714
9,85,41,28,0.8
85,28,42,70,1.75
28,57,43,141,3.525
26,57,44,176,4.4
45,26,45,704,17.6
10,62,46,525,26.25
62,84,47,178,5.085714286
84,82,48,80,1.777777778
82,34,49,1188,26.4
34,32,50,2863,57.26
18,27,51,647,25.88
27,74,52,942,26.91428571
74,29,53,101,2.885714286
29,56,54,489,13.97142857
56,48,55,764,21.82857143
48,87,56,170,4.857142857
87,2,57,105,3
2,53,58,495,14.14285714
18,75,59,208,5.942857143
75,88,60,503,10.06
88,15,61,83,1.66
15,32,62,287,5.74
69,21,63,626,13.91111111
3,21,64,301,8.6
3,11,65,372,10.62857143
11,46,66,128,3.657142857
46,77,67,215,6.142857143
77,78,68,418,11.94285714
53,78,69,532,15.2
16,53,70,623,17.8
1,16,71,398,11.37142857
1,10,72,483,24.15
31,65,74,15,0.75
52,72,75,110,2.444444444
72,61,76,90,2
61,34,77,1655,36.77777778
43,8,78,383,10.94285714
8,67,79,539,15.4
67,10,80,270,13.5
7,60,81,138,3.171428571
60,54,82,300,8.571428571
54,19,83,249,7.114285714
19,39,85,90,2.571428571
39,68,86,22,0.628571429
68,43,87,243,6.942857143
45,63,88,1040,26
63,52,89,865,19.22222222
62,82,92,240,6.857142857
21,4,93,700,20
60,6,94,67,1.914285714
6,50,95,117,3.342857143
62,51,97,300,12
51,47,98,1530,30.6
47,41,99,648,14.4
41,32,100,1714,34.28
18,73,101,882,17.64
34,73,102,1550,31
37,22,103,359,8.257142857
36,49,104,22,0.88
50,25,105,113,4.52
33,79,106,460,46
79,80,107,257,25.7
80,81,108,722,28.88
