Origin_Name,Lat,Lon,ID,Pop
Ann,19.783330,94.033330,O_1,1
Bago,17.336670,96.479720,O_2,1
Balikpapan,-1.267530,116.828870,O_3,1
Bandar Lampung,-5.425400,105.258000,O_4,1
Bandung,-6.919393,107.608456,O_5,1
Banteay Meanchey,13.640630,102.581360,O_6,1
Battambang  ,13.103000,103.198000,O_7,1
Bien Hoa,10.950000,106.816670,O_8,1
Bogor,-6.606481,106.801891,O_9,1
Cagayan de Oro City,8.482220,124.647220,O_10,1
Can Tho,10.033330,105.783330,O_11,1
Chiang Mai,18.787740,98.993120,O_12,1
Chon Buri,13.361125,100.988319,O_13,1
Da Nang,16.051264,108.212426,O_14,1
Davao City,7.073854,125.612487,O_15,1
General Santos City,6.112780,125.171670,O_16,1
Hà Noi,21.024500,105.841170,O_17,1
Huai Ta Mai,14.685230,104.579200,O_18,1
Ipoh,4.583333,101.083300,O_19,1
Jakarta,-6.211831,106.841646,O_20,1
Jambi,-1.600000,103.616670,O_21,1
Johor Bahru,1.465500,103.757800,O_22,1
Kampong Saom,10.609000,103.530000,O_23,1
Kota Kinabalu,5.978172,116.116577,O_24,1
Krung Thep (Bangkok),13.721964,100.525248,O_25,1
Kuching,1.550000,110.333330,O_26,1
Kyaukpyu,19.433360,93.549080,O_27,1
Luang Prabang  ,19.886000,102.135000,O_28,1
Ma-Ei,19.347100,94.137720,O_29,1
Magway,20.250000,94.750000,O_30,1
Malang,-7.979700,112.630400,O_31,1
Mandalay,21.974730,96.083590,O_32,1
Mawlamyine,16.490510,97.628250,O_33,1
Meiktila,20.835710,95.773310,O_34,1
Minbu,21.174720,94.881940,O_35,1
Mongyai,22.405870,98.032970,O_36,1
Myitkyina,25.394610,97.384070,O_37,1
Namhkan,23.830420,97.684650,O_38,1
Nonthaburi,13.860208,100.521782,O_39,1
Pakse  ,15.120000,105.799000,O_40,1
Pekan Baru,0.533330,101.450000,O_41,1
Phnom Penh  ,11.562000,104.916000,O_42,1
Pleiku,13.886070,108.009330,O_43,1
Preah Vihear,13.803420,104.968550,O_44,1
Rattanakkiri,13.740020,106.991530,O_45,1
Sa Bai Na Go,23.110680,96.022560,O_46,1
Samut Prakan,13.599340,100.596750,O_47,1
Savannakhét  ,16.565000,104.753000,O_48,1
Semarang,-6.993200,110.420300,O_49,1
Shwebo,22.578650,95.698390,O_50,1
Siem Reap  ,13.362000,103.861000,O_51,1
Stung Treng,13.499920,105.993650,O_52,1
Surabaya,-7.288838,112.741078,O_53,1
Takeo,10.991000,104.785000,O_54,1
Tasikmalaya,-7.327905,108.216618,O_55,1
Thakhek ,17.410000,104.831000,O_56,1
Tigyaing,23.755790,96.146070,O_57,1
Udon Thani,17.415670,102.785890,O_58,1
Uttaradit,17.420750,100.325080,O_59,1
Vieng Phou Kha,20.633333,101.050000,O_60,1
Vientiane,17.966670,102.600000,O_61,1
Yangon,16.805280,96.156110,O_62,1
Zamboanga City,6.910333,122.075045,O_63,1
